rk,name,team,gp,ab,h,rbi,bb,x2b,x3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,season,player_type,player_name,ops,iso,bb_rate,k_rate,hr_rate,xbh_rate
1,J Agnew,Grand Junction Jackalopes,18,1,1,0,0,NA,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2021,hitter,J Agnew,2,0,0,0,0,0
1,K De La Cruz,Ogden Raptors,9,1,1,0,0,NA,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2021,hitter,K De La Cruz,2,0,0,0,0,0
3,C Estrada,Idaho Falls Chukars,25,33,15,12,1,NA,NA,2,2,9,0.455,0.471,0.636,NA,NA,NA,NA,NA,NA,NA,34,2021,hitter,C Estrada,1.107,0.181,0.029411764705882353,0.2647058823529412,0.058823529411764705,0.058823529411764705
4,S Davis,Rocky Mountain Vibes,18,9,4,3,2,NA,NA,1,1,2,0.444,0.545,0.778,NA,NA,NA,NA,NA,NA,NA,11,2021,hitter,S Davis,1.323,0.334,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091
5,F Jezioro,Grand Junction Jackalopes,40,126,51,25,9,NA,NA,5,5,36,0.405,0.444,0.524,NA,NA,NA,NA,NA,NA,NA,135,2021,hitter,F Jezioro,0.968,0.119,0.06666666666666667,0.26666666666666666,0.037037037037037035,0.037037037037037035
6,D Maberry,Ogden Raptors,59,188,76,52,26,NA,NA,7,7,42,0.404,0.477,0.516,NA,NA,NA,NA,NA,NA,NA,214,2021,hitter,D Maberry,0.993,0.11199999999999999,0.12149532710280374,0.19626168224299065,0.03271028037383177,0.03271028037383177
7,J Broughton,Ogden Raptors,75,297,118,66,22,NA,NA,8,8,49,0.397,0.439,0.478,NA,NA,NA,NA,NA,NA,NA,319,2021,hitter,J Broughton,0.917,0.08099999999999996,0.06896551724137931,0.1536050156739812,0.025078369905956112,0.025078369905956112
8,E Lopez,Rocky Mountain Vibes,21,68,27,14,7,NA,NA,5,5,7,0.397,0.453,0.618,NA,NA,NA,NA,NA,NA,NA,75,2021,hitter,E Lopez,1.071,0.22099999999999997,0.09333333333333334,0.09333333333333334,0.06666666666666667,0.06666666666666667
9,A Amicangelo,Billings Mustangs,73,275,105,83,29,NA,NA,5,5,39,0.382,0.441,0.436,NA,NA,NA,NA,NA,NA,NA,304,2021,hitter,A Amicangelo,0.877,0.05399999999999999,0.09539473684210527,0.12828947368421054,0.01644736842105263,0.01644736842105263
10,K Quiggle,Idaho Falls Chukars,58,237,89,73,24,NA,NA,13,13,54,0.376,0.433,0.54,NA,NA,NA,NA,NA,NA,NA,261,2021,hitter,K Quiggle,0.9730000000000001,0.16400000000000003,0.09195402298850575,0.20689655172413793,0.04980842911877394,0.04980842911877394
11,D Ellis,Idaho Falls Chukars,16,35,13,8,4,NA,NA,1,1,8,0.371,0.436,0.457,NA,NA,NA,NA,NA,NA,NA,39,2021,hitter,D Ellis,0.893,0.08600000000000002,0.10256410256410256,0.20512820512820512,0.02564102564102564,0.02564102564102564
12,K Crowl,Great Falls Voyagers,76,272,101,65,43,NA,NA,8,8,42,0.371,0.457,0.46,NA,NA,NA,NA,NA,NA,NA,315,2021,hitter,K Crowl,0.917,0.08900000000000002,0.1365079365079365,0.13333333333333333,0.025396825396825397,0.025396825396825397
13,G Horton,Missoula PaddleHeads,11,38,14,6,2,NA,NA,2,2,9,0.368,0.4,0.526,NA,NA,NA,NA,NA,NA,NA,40,2021,hitter,G Horton,0.926,0.15800000000000003,0.05,0.225,0.05,0.05
14,M Schwellenbach,Missoula PaddleHeads,25,11,4,0,2,NA,NA,0,0,3,0.364,0.462,0.364,NA,NA,NA,NA,NA,NA,NA,13,2021,hitter,M Schwellenbach,0.8260000000000001,0,0.15384615384615385,0.23076923076923078,0,0
15,T Kelly,Idaho Falls Chukars,36,122,44,25,14,NA,NA,5,5,22,0.361,0.426,0.484,NA,NA,NA,NA,NA,NA,NA,136,2021,hitter,T Kelly,0.9099999999999999,0.123,0.10294117647058823,0.16176470588235295,0.03676470588235294,0.03676470588235294
16,J Elvir,Grand Junction Jackalopes,47,164,59,44,39,NA,NA,10,10,56,0.36,0.483,0.543,NA,NA,NA,NA,NA,NA,NA,203,2021,hitter,J Elvir,1.026,0.18300000000000005,0.1921182266009852,0.27586206896551724,0.04926108374384237,0.04926108374384237
17,C Thompson,Missoula PaddleHeads,78,322,115,59,47,NA,NA,12,12,80,0.357,0.439,0.469,NA,NA,NA,NA,NA,NA,NA,369,2021,hitter,C Thompson,0.9079999999999999,0.11199999999999999,0.12737127371273713,0.21680216802168023,0.032520325203252036,0.032520325203252036
18,A Fishberg,Idaho Falls Chukars,33,79,28,21,7,NA,NA,3,3,11,0.354,0.407,0.468,NA,NA,NA,NA,NA,NA,NA,86,2021,hitter,A Fishberg,0.875,0.11400000000000005,0.08139534883720931,0.12790697674418605,0.03488372093023256,0.03488372093023256
18,N Scantlin,Grand Junction Jackalopes,57,237,84,39,38,NA,NA,5,5,62,0.354,0.444,0.418,NA,NA,NA,NA,NA,NA,NA,275,2021,hitter,N Scantlin,0.862,0.064,0.13818181818181818,0.22545454545454546,0.01818181818181818,0.01818181818181818
20,Z Almond,Missoula PaddleHeads,79,308,109,84,47,NA,NA,25,25,47,0.354,0.439,0.597,NA,NA,NA,NA,NA,NA,NA,355,2021,hitter,Z Almond,1.036,0.243,0.1323943661971831,0.1323943661971831,0.07042253521126761,0.07042253521126761
21,D Mervis,Billings Mustangs,8,17,6,3,4,NA,NA,0,0,5,0.353,0.476,0.353,NA,NA,NA,NA,NA,NA,NA,21,2021,hitter,D Mervis,0.829,0,0.19047619047619047,0.23809523809523808,0,0
22,M Feinstein,Idaho Falls Chukars,73,284,100,100,64,NA,NA,20,20,66,0.352,0.471,0.563,NA,NA,NA,NA,NA,NA,NA,348,2021,hitter,M Feinstein,1.0339999999999998,0.21099999999999997,0.1839080459770115,0.1896551724137931,0.05747126436781609,0.05747126436781609
23,R Shah,Ogden Raptors,70,211,74,56,32,NA,NA,7,7,50,0.351,0.436,0.45,NA,NA,NA,NA,NA,NA,NA,243,2021,hitter,R Shah,0.886,0.09900000000000003,0.13168724279835392,0.205761316872428,0.02880658436213992,0.02880658436213992
24,B Norman,Great Falls Voyagers,53,158,55,57,17,NA,NA,13,13,28,0.348,0.411,0.595,NA,NA,NA,NA,NA,NA,NA,175,2021,hitter,B Norman,1.006,0.247,0.09714285714285714,0.16,0.07428571428571429,0.07428571428571429
25,N Michaels,Ogden Raptors,75,259,90,51,25,NA,NA,5,5,64,0.347,0.405,0.405,NA,NA,NA,NA,NA,NA,NA,284,2021,hitter,N Michaels,0.81,0.05800000000000005,0.0880281690140845,0.22535211267605634,0.017605633802816902,0.017605633802816902
26,N Gatewood,Missoula PaddleHeads,83,320,111,85,29,NA,NA,18,18,66,0.347,0.401,0.516,NA,NA,NA,NA,NA,NA,NA,349,2021,hitter,N Gatewood,0.917,0.16900000000000004,0.0830945558739255,0.18911174785100288,0.05157593123209169,0.05157593123209169
27,C Sepulveda,Billings Mustangs,60,185,64,49,25,NA,NA,10,10,31,0.346,0.424,0.508,NA,NA,NA,NA,NA,NA,NA,210,2021,hitter,C Sepulveda,0.9319999999999999,0.16200000000000003,0.11904761904761904,0.14761904761904762,0.047619047619047616,0.047619047619047616
28,J Garcia,Billings Mustangs,84,349,120,70,32,NA,NA,13,13,82,0.344,0.399,0.456,NA,NA,NA,NA,NA,NA,NA,381,2021,hitter,J Garcia,0.855,0.11200000000000004,0.08398950131233596,0.2152230971128609,0.03412073490813648,0.03412073490813648
29,H Hisky,Idaho Falls Chukars,52,195,67,48,31,NA,NA,4,4,35,0.344,0.434,0.405,NA,NA,NA,NA,NA,NA,NA,226,2021,hitter,H Hisky,0.839,0.061000000000000054,0.13716814159292035,0.15486725663716813,0.017699115044247787,0.017699115044247787
30,J Matthews,Great Falls Voyagers,68,233,80,55,35,NA,NA,7,7,44,0.343,0.429,0.433,NA,NA,NA,NA,NA,NA,NA,268,2021,hitter,J Matthews,0.862,0.08999999999999997,0.13059701492537312,0.16417910447761194,0.026119402985074626,0.026119402985074626
31,W Little,Idaho Falls Chukars,67,287,98,77,41,NA,NA,11,11,49,0.341,0.424,0.456,NA,NA,NA,NA,NA,NA,NA,328,2021,hitter,W Little,0.88,0.11499999999999999,0.125,0.14939024390243902,0.03353658536585366,0.03353658536585366
31,J Newman,Missoula PaddleHeads,21,82,28,25,9,NA,NA,8,8,12,0.341,0.407,0.634,NA,NA,NA,NA,NA,NA,NA,91,2021,hitter,J Newman,1.041,0.293,0.0989010989010989,0.13186813186813187,0.08791208791208792,0.08791208791208792
33,J Olson,Great Falls Voyagers,68,277,94,56,22,NA,NA,9,9,55,0.339,0.388,0.437,NA,NA,NA,NA,NA,NA,NA,299,2021,hitter,J Olson,0.825,0.09799999999999998,0.07357859531772576,0.18394648829431437,0.030100334448160536,0.030100334448160536
34,J Barfield,Rocky Mountain Vibes,74,260,88,63,31,NA,NA,18,18,64,0.338,0.409,0.546,NA,NA,NA,NA,NA,NA,NA,291,2021,hitter,J Barfield,0.9550000000000001,0.20800000000000002,0.10652920962199312,0.21993127147766323,0.061855670103092786,0.061855670103092786
