"player_name","team","season","gp","pa","ab","h","x2b","x3b","hr","bb","hbp","sf","k","x1b","avg","obp","slg","ops","iso","bb_rate","k_rate","hr_rate","xbh","xbh_rate","woba","lg_obp","lg_slg","ops_plus","name_key","iso_pct","hr_pct","bb_pct","k_pct","power_score","discipline_score","scout_score","power_grade","discipline_grade","scout_grade","alumni_name","organization","signed_by_mlb_org"
"A Adams","Rocky Mountain Vibes",2025,39,150,119,37,5,0,2,21,6,2,41,30,0.310924369747899,0.432432432432432,0.403361344537815,0.835793776970248,0.092436974789916,0.14,0.273333333333333,0.0133333333333333,7,0.0466666666666667,0.378506756756757,0.430165036674817,0.545487286609522,74,"aadams",0.213618157543391,0.267022696929239,0.753004005340454,0.0787716955941254,0.23497997329773,0.449599465954606,0.310096795727637,34.0987983978638,47.3169742445751,40.044877396248,NA,NA,0
"A Amicangelo","Billings Mustangs",2021,73,304,275,105,0,0,5,29,0,0,39,100,0.381818181818182,0.440789473684211,0.436363636363636,0.877153110047847,0.0545454545454545,0.0953947368421053,0.128289473684211,0.0164473684210526,5,0.0164473684210526,0.392483552631579,0.386737115479336,0.403905188465603,122,"aamicangelo",0.129506008010681,0.323097463284379,0.360480640854473,0.801068090787717,0.20694259012016,0.558744993324433,0.330073431241656,32.4165554072096,53.9484891502738,41.3361813219414,NA,NA,0
"A Armstrong","Ogden Raptors",2021,62,192,174,48,0,0,1,18,0,0,30,47,0.275862068965517,0.34375,0.293103448275862,0.636853448275862,0.0172413793103448,0.09375,0.15625,0.00520833333333333,1,0.00520833333333333,0.293005208333333,0.386737115479336,0.403905188465603,61,"aarmstrong",0.0761014686248331,0.168224299065421,0.345794392523364,0.643524699599466,0.112950600801068,0.47977303070761,0.241338451268358,26.7770360480641,49.1502737781383,35.6002891139951,NA,NA,0
"A Atwood","Great Falls Voyagers",2021,27,95,88,26,0,0,0,7,0,0,22,26,0.295454545454545,0.347368421052632,0.295454545454545,0.642822966507177,0,0.0736842105263158,0.231578947368421,0,0,0,0.293873684210526,0.386737115479336,0.403905188465603,63,"aatwood",0,0,0.186915887850467,0.202937249666222,0,0.194125500667557,0.0679439252336449,20,31.794767795579,24.3919436443466,"Andy Atwood","Chicago White Sox",1
"A Atwood","Great Falls Voyagers",2022,22,107,92,31,6,1,3,11,2,2,14,21,0.33695652173913,0.411214953271028,0.521739130434783,0.932954083705811,0.184782608695652,0.102803738317757,0.130841121495327,0.0280373831775701,10,0.0934579439252336,0.403990654205607,0.403219653620203,0.505468647871367,105,"aatwood",0.559412550066756,0.506008010680908,0.447263017356475,0.789052069425901,0.538050734312417,0.601068090787717,0.560106809078772,52.283044058745,56.5199756641655,56.2057024499175,"Andy Atwood","Chicago White Sox",1
"A Baeza","Boise Hawks",2023,72,319,258,88,15,1,14,51,2,8,54,58,0.341085271317829,0.442006269592476,0.569767441860465,1.01177371145294,0.228682170542636,0.15987460815047,0.169278996865204,0.0438871473354232,30,0.0940438871473354,0.433332288401254,0.415712620826764,0.519508091651979,116,"abaeza",0.746328437917223,0.7543391188251,0.862483311081442,0.562082777036048,0.749532710280374,0.727303070761015,0.741752336448598,64.9719626168224,64.1898195092273,67.9473985134363,NA,NA,0
"A Bernard","Missoula PaddleHeads",2023,57,226,182,53,6,1,6,36,4,4,46,40,0.291208791208791,0.411504424778761,0.434065934065934,0.845570358844695,0.142857142857143,0.15929203539823,0.20353982300885,0.0265486725663717,13,0.0575221238938053,0.376530973451327,0.415712620826764,0.519508091651979,83,"abernard",0.401869158878505,0.487316421895861,0.858477970627503,0.361815754339119,0.436048064085447,0.63497997329773,0.505674232309746,46.1628838451268,58.5804096532144,52.6871419787048,NA,NA,0
"A Bond","Billings Mustangs",2021,25,67,57,14,0,0,1,10,0,0,25,13,0.245614035087719,0.358208955223881,0.298245614035088,0.656454569258968,0.0526315789473684,0.149253731343284,0.373134328358209,0.0149253731343283,1,0.0149253731343283,0.306641791044776,0.386737115479336,0.403905188465603,66,"abond",0.12283044058745,0.288384512683578,0.813084112149533,0.0160213618157543,0.189052069425901,0.454405874499332,0.281925901201602,31.3431241655541,47.609004258771,38.2238907408007,NA,NA,0
"A Buendia","Rocky Mountain Vibes",2021,32,112,106,33,0,0,1,6,0,0,15,32,0.311320754716981,0.348214285714286,0.339622641509434,0.68783692722372,0.0283018867924528,0.0535714285714286,0.133928571428571,0.00892857142857142,1,0.00892857142857142,0.3094375,0.386737115479336,0.403905188465603,74,"abuendia",0.0867823765020027,0.204272363150868,0.0854472630173565,0.771695594125501,0.133778371161549,0.394259012016021,0.224946595460614,28.0267022696929,43.9545731089029,34.5407078977745,NA,NA,0
"A Chouinard","Grand Junction Jackalopes",2023,46,173,145,50,8,0,6,16,9,2,37,36,0.344827586206897,0.436046511627907,0.524137931034483,0.96018444266239,0.179310344827586,0.092485549132948,0.213872832369942,0.0346820809248555,14,0.0809248554913295,0.420232558139535,0.415712620826764,0.519508091651979,106,"achouinard",0.539385847797063,0.619492656875834,0.335113484646195,0.307076101468625,0.571428571428571,0.322496662216288,0.484302403204272,54.2857142857143,39.5944027580612,51.30565174709,NA,NA,0
"A Chouinard","Rocky Mountain Vibes",2025,57,220,189,70,18,0,4,21,6,4,33,48,0.37037037037037,0.440909090909091,0.529100529100529,0.97000962000962,0.158730158730159,0.0954545454545455,0.15,0.0181818181818182,22,0.1,0.421490909090909,0.430165036674817,0.545487286609522,99,"achouinard",0.464619492656876,0.363150867823765,0.361815754339119,0.684913217623498,0.424032042723632,0.50720961281709,0.453144192256342,45.4419225634179,50.8172784425066,49.2915628337487,NA,NA,0
"A Cootway","Billings Mustangs",2026,79,392,297,102,26,1,22,74,17,4,81,53,0.343434343434343,0.49234693877551,0.65993265993266,1.15227959870817,0.316498316498317,0.188775510204082,0.206632653061224,0.0561224489795918,49,0.125,0.487964285714286,0.450384809487762,0.58938642643552,121,"acootway",0.931909212283044,0.878504672897196,0.950600801068091,0.344459279038718,0.910547396528705,0.677837116154873,0.829098798397864,74.6328437917223,61.1843439464612,73.5935359288866,NA,NA,0
"A Davis","Rocky Mountain Vibes",2024,88,429,366,120,27,3,10,54,4,2,77,80,0.327868852459016,0.417840375586854,0.5,0.917840375586854,0.172131147540984,0.125874125874126,0.179487179487179,0.0233100233100233,40,0.0932400932400932,0.402260563380282,0.424262617051871,0.536937901498929,92,"adavis",0.512683578104139,0.431241655540721,0.640854472630174,0.495327102803738,0.480106809078772,0.575367156208278,0.513447930574099,48.8064085447263,54.9584262827013,53.1896393626547,NA,NA,0
"A Don","Idaho Falls Chukars",2021,62,287,255,72,0,0,4,32,0,0,72,68,0.282352941176471,0.362369337979094,0.329411764705882,0.691781102684977,0.0470588235294118,0.111498257839721,0.250871080139373,0.0139372822299651,4,0.0139372822299651,0.316613240418118,0.386737115479336,0.403905188465603,75,"adon",0.11214953271028,0.275033377837116,0.526034712950601,0.125500667556742,0.177303070761015,0.345794392523364,0.236275033377837,30.6381842456609,41.0099371324275,35.2729861807826,NA,NA,0
"A Don","Idaho Falls Chukars",2022,16,76,69,25,4,0,0,5,2,0,15,21,0.36231884057971,0.421052631578947,0.420289855072464,0.841342486651411,0.0579710144927536,0.0657894736842105,0.197368421052632,0,4,0.0526315789473684,0.376657894736842,0.403219653620203,0.505468647871367,88,"adon",0.142857142857143,0,0.136181575433912,0.397863818424566,0.0857142857142857,0.253938584779706,0.144592790387183,25.1428571428571,35.4289190833502,29.346580795495,NA,NA,0
"A Eggleston","Great Falls Voyagers",2021,36,61,57,14,0,0,1,4,0,0,14,13,0.245614035087719,0.295081967213115,0.298245614035088,0.593327581248202,0.0526315789473684,0.0655737704918033,0.229508196721311,0.0163934426229508,1,0.0163934426229508,0.268934426229508,0.386737115479336,0.403905188465603,50,"aeggleston",0.12283044058745,0.319092122830441,0.133511348464619,0.21762349799733,0.201335113484646,0.171361815754339,0.190844459279039,32.0801068090788,30.4116812005678,32.3363215638047,NA,NA,0
"A Elder","Grand Junction Jackalopes",2021,47,185,167,44,0,0,1,18,0,0,25,43,0.263473053892216,0.335135135135135,0.281437125748503,0.616572260883638,0.0179640718562874,0.0972972972972973,0.135135135135135,0.0054054054054054,1,0.0054054054054054,0.284891891891892,0.386737115479336,0.403905188465603,56,"aelder",0.0774365821094793,0.170894526034713,0.381842456608812,0.763684913217624,0.114819759679573,0.553671562082777,0.268417890520694,26.8891855807744,53.6402352464003,37.3507233243794,NA,NA,0
"A Elder","Grand Junction Jackalopes",2022,34,141,116,42,6,0,0,19,6,0,9,36,0.362068965517241,0.475177304964539,0.413793103448276,0.888970408412815,0.0517241379310345,0.134751773049645,0.0638297872340425,0,6,0.0425531914893617,0.404510638297872,0.403219653620203,0.505468647871367,100,"aelder",0.120160213618158,0,0.711615487316422,0.966622162883845,0.0720961281708945,0.826368491321762,0.336091455273698,24.3257676902537,70.2088825795985,41.7251906749949,NA,NA,0
"A Fernandes","Glacier Range Riders",2026,28,131,98,36,10,3,2,30,2,0,11,21,0.36734693877551,0.523076923076923,0.591836734693878,1.1149136577708,0.224489795918367,0.229007633587786,0.083969465648855,0.0152671755725191,15,0.114503816793893,0.481169230769231,0.450384809487762,0.58938642643552,117,"afernandes",0.734312416555407,0.293724966622163,0.983978638184246,0.942590120160214,0.55807743658211,0.965353805073431,0.700624165554072,53.4846461949266,78.6534171567633,65.2888442991683,NA,NA,0
