rk,name,team,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k_9,hr,whip,bf,wp,hbp,season,player_type,ip_raw,bb_9,hr_9,h_9,k_bb,k_pct,bb_pct,k_minus_bb_pct,gs_pct,league_era,league_fip_component,fip_constant,fip
1,O Serrano,Modesto Roadsters,4.17,8,2,16,16,0,95,100,48,44,36,107,10.14,8,1.43,412,2,1,2026,pitcher,95,3.4105263157894736,0.7578947368421053,9.473684210526315,2.9722222222222223,0.25970873786407767,0.08737864077669903,0.17233009708737862,1,7.548464236369433,2.4978212349877777,5.050643001381656,5.061169317171129
2,R Abe-Arias,Oakland Ballers,7.12,1,3,15,15,0,91,129,80,72,30,56,5.54,20,1.75,429,3,2,2026,pitcher,91,2.967032967032967,1.978021978021978,12.758241758241759,1.8666666666666667,0.13053613053613053,0.06993006993006994,0.060606060606060594,1,7.548464236369433,2.4978212349877777,5.050643001381656,7.731961682700337
3,J Jenkins,Modesto Roadsters,4.84,6,1,15,15,0,89.33333333333333,81,50,48,29,89,8.97,10,1.23,378,6,9,2026,pitcher,89.1,2.921641791044776,1.0074626865671643,8.16044776119403,3.0689655172413794,0.23544973544973544,0.07671957671957672,0.15873015873015872,1,7.548464236369433,2.4978212349877777,5.050643001381656,5.789448971530909
4,Z Longshore,Glacier Range Riders,5.52,7,4,16,15,0,88,99,57,54,32,84,8.59,17,1.49,388,2,5,2026,pitcher,88,3.272727272727273,1.7386363636363635,10.125,2.625,0.21649484536082475,0.08247422680412371,0.13402061855670105,0.9375,7.548464236369433,2.4978212349877777,5.050643001381656,6.914279365018019
5,N Saltaformaggio,Ogden Raptors,7.17,9,2,14,14,0,86.66666666666667,129,75,69,18,69,7.17,12,1.7,401,8,7,2026,pitcher,86.2,1.869230769230769,1.2461538461538462,13.396153846153846,3.8333333333333335,0.17206982543640897,0.04488778054862843,0.12718204488778054,1,7.548464236369433,2.4978212349877777,5.050643001381656,6.1237199244585785
6,A Elfering,Glacier Range Riders,5.1,6,4,15,14,0,84.66666666666667,106,51,48,22,74,7.87,14,1.51,375,3,4,2026,pitcher,84.2,2.338582677165354,1.4881889763779528,11.26771653543307,3.3636363636363638,0.19733333333333333,0.058666666666666666,0.13866666666666666,0.9333333333333333,7.548464236369433,2.4978212349877777,5.050643001381656,6.373477647050947
7,J Garcia,Billings Mustangs,5.4,7,1,13,13,0,80,101,55,48,28,78,8.78,9,1.61,370,8,4,2026,pitcher,80,3.15,1.0125,11.3625,2.7857142857142856,0.21081081081081082,0.07567567567567568,0.13513513513513514,1,7.548464236369433,2.4978212349877777,5.050643001381656,5.763143001381656
8,J Jackson,Missoula PaddleHeads,7.71,7,3,15,15,0,79.33333333333333,113,75,68,32,76,8.62,13,1.83,381,7,4,2026,pitcher,79.1,3.6302521008403366,1.4747899159663866,12.819327731092438,2.375,0.1994750656167979,0.08398950131233596,0.11548556430446194,1,7.548464236369433,2.4978212349877777,5.050643001381656,6.626273253482497
9,N Hemmerling,Long Beach Coast,4.58,6,0,15,13,0,78.66666666666667,78,48,40,30,84,9.61,6,1.37,340,5,5,2026,pitcher,78.2,3.432203389830508,0.6864406779661016,8.923728813559322,2.8,0.24705882352941178,0.08823529411764706,0.1588235294117647,0.8666666666666667,7.548464236369433,2.4978212349877777,5.050643001381656,5.24132096748335
10,T Reisinger,Missoula PaddleHeads,8.15,3,5,15,15,0,77.33333333333333,101,80,70,31,69,8.03,18,1.71,360,7,5,2026,pitcher,77.1,3.6077586206896552,2.094827586206897,11.754310344827587,2.225806451612903,0.19166666666666668,0.08611111111111111,0.10555555555555557,1,7.548464236369433,2.4978212349877777,5.050643001381656,7.688574035864415
11,S Lavin,Great Falls Voyagers,8.22,3,6,13,13,0,76.66666666666667,108,77,70,41,77,9.04,12,1.94,378,13,5,2026,pitcher,76.2,4.8130434782608695,1.408695652173913,12.678260869565216,1.8780487804878048,0.2037037037037037,0.10846560846560846,0.09523809523809523,1,7.548464236369433,2.4978212349877777,5.050643001381656,6.876729957903395
12,J Leerssen,Idaho Falls Chukars,10.13,5,7,15,14,0,74.66666666666667,106,91,84,47,69,8.32,14,2.05,378,6,8,2026,pitcher,74.2,5.665178571428571,1.6875,12.776785714285714,1.4680851063829787,0.18253968253968253,0.12433862433862433,0.0582010582010582,0.9333333333333333,7.548464236369433,2.4978212349877777,5.050643001381656,7.849750144238799
13,Z Rose,Boise Hawks,6.66,4,4,37,2,10,74.33333333333333,93,60,55,24,61,7.39,11,1.57,343,3,8,2026,pitcher,74.1,2.9058295964125564,1.3318385650224216,11.260089686098656,2.5416666666666665,0.17784256559766765,0.06997084548104957,0.10787172011661808,0.05405405405405406,7.548464236369433,2.4978212349877777,5.050643001381656,6.62463403277179
14,R Egloff,Yuba-Sutter Freebirds,7.28,2,6,15,15,0,71.66666666666667,93,63,58,43,63,7.91,15,1.9,346,6,5,2026,pitcher,71.2,5.3999999999999995,1.883720930232558,11.67906976744186,1.4651162790697674,0.18208092485549132,0.12427745664739884,0.057803468208092484,1,7.548464236369433,2.4978212349877777,5.050643001381656,8.022736024637469
14,B Huter,Idaho Falls Chukars,5.15,3,3,13,12,0,71.66666666666667,90,50,41,27,40,5.02,8,1.63,327,3,2,2026,pitcher,71.2,3.3906976744186044,1.0046511627906975,11.302325581395348,1.4814814814814814,0.12232415902140673,0.08256880733944955,0.03975535168195718,0.9230769230769231,7.548464236369433,2.4978212349877777,5.050643001381656,6.599480210683981
16,D Hernandez,Modesto Roadsters,4.22,6,1,11,10,0,70.33333333333333,68,37,33,23,68,8.7,7,1.29,302,5,1,2026,pitcher,70.1,2.9431279620853084,0.8957345971563981,8.701421800947868,2.9565217391304346,0.2251655629139073,0.076158940397351,0.1490066225165563,0.9090909090909091,7.548464236369433,2.4978212349877777,5.050643001381656,5.434529257305826
17,C Calnon,Billings Mustangs,5.56,8,2,12,10,0,69.66666666666667,103,57,43,11,32,4.13,17,1.64,324,1,4,2026,pitcher,69.2,1.4210526315789473,2.1961722488038276,13.30622009569378,2.909090909090909,0.09876543209876543,0.033950617283950615,0.06481481481481481,0.8333333333333334,7.548464236369433,2.4978212349877777,5.050643001381656,7.950164532482134
17,A Silvas,Yuba-Sutter Freebirds,9.43,1,6,18,13,0,69.66666666666667,97,80,73,50,59,7.62,20,2.11,349,1,3,2026,pitcher,69.2,6.45933014354067,2.5837320574162677,12.531100478468899,1.18,0.16905444126074498,0.14326647564469913,0.02578796561604585,0.7222222222222222,7.548464236369433,2.4978212349877777,5.050643001381656,9.37121716406108
19,I Lanik,Idaho Falls Chukars,10.06,2,8,14,13,0,68,115,80,76,34,45,5.96,18,2.19,351,5,7,2026,pitcher,68,4.5,2.3823529411764706,15.220588235294118,1.3235294117647058,0.1282051282051282,0.09686609686609686,0.031339031339031334,0.9285714285714286,7.548464236369433,2.4978212349877777,5.050643001381656,8.97711358961695
20,A Christopher,RedPocket Mobiles,8.65,0,8,11,11,0,67.66666666666667,113,81,65,9,48,6.38,18,1.8,332,3,6,2026,pitcher,67.2,1.1970443349753694,2.394088669950739,15.029556650246304,5.333333333333333,0.14457831325301204,0.02710843373493976,0.11746987951807228,1,7.548464236369433,2.4978212349877777,5.050643001381656,7.755076498918601
20,C Talley,Modesto Roadsters,5.19,8,1,14,13,0,67.66666666666667,84,44,39,27,56,7.45,8,1.64,309,NA,1,2026,pitcher,67.2,3.591133004926108,1.064039408866995,11.172413793103447,2.074074074074074,0.18122977346278318,0.08737864077669903,0.09385113268608415,0.9285714285714286,7.548464236369433,2.4978212349877777,5.050643001381656,6.1737957107412615
22,S Spencer,Idaho Falls Chukars,10.18,3,6,16,14,0,63.666666666666664,108,89,72,55,42,5.94,8,2.56,354,13,5,2026,pitcher,63.2,7.774869109947645,1.130890052356021,15.267015706806284,0.7636363636363637,0.11864406779661017,0.1553672316384181,-0.03672316384180792,0.875,7.548464236369433,2.4978212349877777,5.050643001381656,8.192004257926158
23,N Bautista,Long Beach Coast,4.71,6,3,15,11,0,63,70,38,33,32,62,8.86,7,1.62,282,5,3,2026,pitcher,63,4.571428571428571,1,10,1.9375,0.2198581560283688,0.11347517730496454,0.10638297872340427,0.7333333333333333,7.548464236369433,2.4978212349877777,5.050643001381656,6.193500144238799
24,J Martin,Long Beach Coast,5.4,6,2,12,12,0,61.666666666666664,67,45,37,21,46,6.71,13,1.43,280,NA,7,2026,pitcher,61.2,3.064864864864865,1.8972972972972975,9.77837837837838,2.1904761904761907,0.16428571428571428,0.075,0.08928571428571429,1,7.548464236369433,2.4978212349877777,5.050643001381656,7.661453812192466
25,B Beard,Missoula PaddleHeads,8.66,4,3,13,13,0,61.333333333333336,95,75,59,20,55,8.07,23,1.88,303,2,7,2026,pitcher,61.1,2.934782608695652,3.375,13.940217391304348,2.75,0.18151815181518152,0.066006600660066,0.11551155115511552,1,7.548464236369433,2.4978212349877777,5.050643001381656,9.452816914425135
26,E Hernandez,Great Falls Voyagers,9.59,2,5,14,11,0,61,76,68,65,51,64,9.44,7,2.08,311,11,6,2026,pitcher,61,7.524590163934426,1.0327868852459017,11.21311475409836,1.2549019607843137,0.2057877813504823,0.1639871382636656,0.04180064308681672,0.7857142857142857,7.548464236369433,2.4978212349877777,5.050643001381656,7.247364312857066
27,J Cone,Boise Hawks,9.55,3,6,13,13,0,60.333333333333336,94,74,64,40,34,5.07,14,2.22,320,5,3,2026,pitcher,60.1,5.966850828729282,2.0883977900552484,14.022099447513812,0.85,0.10625,0.125,-0.018750000000000003,1,7.548464236369433,2.4978212349877777,5.050643001381656,9.07826731077392
27,J Skapinetz,Boise Hawks,9.7,3,5,12,12,0,60.333333333333336,86,76,65,40,73,10.89,19,2.09,316,4,9,2026,pitcher,60.1,5.966850828729282,2.8342541436464086,12.828729281767956,1.825,0.2310126582278481,0.12658227848101267,0.10443037974683544,1,7.548464236369433,2.4978212349877777,5.050643001381656,9.161140238950717
27,K Walker,RedPocket Mobiles,10.14,1,6,16,11,0,60.333333333333336,95,72,68,47,43,6.41,8,2.35,328,7,16,2026,pitcher,60.1,7.011049723756906,1.1933701657458564,14.171270718232044,0.9148936170212766,0.13109756097560976,0.14329268292682926,-0.012195121951219495,0.6875,7.548464236369433,2.4978212349877777,5.050643001381656,8.481582227900994
30,J Castillo,Modesto Roadsters,3.26,4,1,34,0,1,58,48,26,21,25,67,10.4,5,1.26,245,1,1,2026,pitcher,58,3.8793103448275863,0.7758620689655172,7.448275862068965,2.68,0.27346938775510204,0.10204081632653061,0.17142857142857143,0,7.548464236369433,2.4978212349877777,5.050643001381656,5.205815415174759
