rk,name,team,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k_9,hr,whip,bf,wp,hbp,season,player_type,ip_raw,bb_9,hr_9,h_9,k_bb,k_pct,bb_pct,k_minus_bb_pct,gs_pct,league_era,league_fip_component,fip_constant,fip,pitcher_role,eligible,k_bb_pct,era_score,fip_score,whip_score,command_score,workload_score,pitcher_score_0_1,reliability,pitcher_signal,pitcher_z,pitcher_scout_grade
1,K Maldonado,Grand Junction Jackalopes,8.6,0,0,94,24,0,193.66666666666663,259,212,185,115,192,8.92,NA,1.93,NA,NA,NA,2021,pitcher,193.2,5.344234079173838,NA,12.036144578313252,1.6695652173913045,NA,NA,NA,0.2553191489361702,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.26865671641791045,0.5,0.34328358208955223,0.5,1,0.5246268656716419,0.8658718330849479,0.021323709322241306,0.2742548695714654,40
2,D Pena,Missoula PaddleHeads,5.06,0,0,18,18,0,96,92,56,54,40,109,10.22,NA,1.38,NA,NA,NA,2021,pitcher,96,3.75,NA,8.625,2.725,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.746268656716418,0.5,0.8656716417910447,0.5,0.9925373134328358,0.6473880597014926,0.7619047619047619,0.11229566453447055,2.493324325331141,60
3,Q Jones,Great Falls Voyagers,6.68,0,0,18,17,0,95.66666666666669,139,87,71,27,53,4.99,NA,1.74,NA,NA,NA,2021,pitcher,95.2,2.5400696864111496,NA,13.076655052264808,1.962962962962963,NA,NA,NA,0.9444444444444444,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.5,0.5,0.5298507462686567,0.5,0.9850746268656716,0.5757462686567165,0.7612732095490716,0.05766360505166483,1.1606901720834069,50
4,M Dallas,Boise Hawks,4.52,0,0,16,13,0,83.66666666666667,77,45,42,46,104,11.19,NA,1.47,NA,NA,NA,2021,pitcher,83.2,4.948207171314741,NA,8.282868525896413,2.260869565217391,NA,NA,NA,0.8125,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.8134328358208955,0.5,0.7835820895522388,0.5,0.9776119402985075,0.6470149253731344,0.7360703812316716,0.10821333216614881,2.3937444158341092,60
5,I Fuentes,Grand Junction Jackalopes,4.56,0,0,15,15,0,81,105,44,41,17,81,9,NA,1.51,NA,NA,NA,2021,pitcher,81,1.8888888888888888,NA,11.666666666666666,4.764705882352941,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.8059701492537313,0.5,0.753731343283582,0.5,0.9701492537313433,0.6417910447761195,0.7297297297297297,0.10346914078257367,2.2780198481142038,60
6,A Smith,Billings Mustangs,6.92,0,0,18,17,0,79.33333333333333,96,76,61,46,84,9.53,NA,1.79,NA,NA,NA,2021,pitcher,79.1,5.218487394957983,NA,10.890756302521009,1.826086956521739,NA,NA,NA,0.9444444444444444,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.4552238805970149,0.5,0.47761194029850745,0.5,0.9626865671641791,0.56044776119403,0.725609756097561,0.04386148525664368,0.8240164973183054,45
7,M Mogollon,Missoula PaddleHeads,4.13,0,0,30,8,0,72,66,39,33,25,75,9.38,NA,1.26,NA,NA,NA,2021,pitcher,72,3.125,NA,8.25,3,NA,NA,NA,0.26666666666666666,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.8507462686567164,0.5,0.9402985074626866,0.5,0.9552238805970149,0.6649253731343283,0.7058823529411765,0.11641791044776117,2.593877841785448,60
8,A Becerra,Great Falls Voyagers,5.4,0,0,24,8,0,71.66666666666667,92,53,43,36,65,8.16,NA,1.79,NA,NA,NA,2021,pitcher,71.2,4.520930232558139,NA,11.553488372093025,1.8055555555555556,NA,NA,NA,0.3333333333333333,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.6791044776119403,0.5,0.47761194029850745,0.5,0.9477611940298507,0.5917910447761194,0.7049180327868853,0.064705162711035,1.3324541567798511,50
9,B Matthews,Grand Junction Jackalopes,5.93,0,0,17,12,0,71.33333333333333,75,50,47,36,82,10.35,NA,1.56,NA,NA,NA,2021,pitcher,71.1,4.542056074766355,NA,9.462616822429908,2.2777777777777777,NA,NA,NA,0.7058823529411765,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.5970149253731343,0.5,0.7014925373134329,0.5,0.9402985074626866,0.6007462686567164,0.7039473684210527,0.07092007069913592,1.4840537618952703,50
10,N Tellache,Ogden Raptors,5.5,0,0,12,12,0,68.66666666666667,81,47,42,15,63,8.26,NA,1.4,NA,NA,NA,2021,pitcher,68.2,1.966019417475728,NA,10.616504854368932,4.2,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.6567164179104478,0.5,0.8507462686567164,0.5,0.9328358208955224,0.6235074626865671,0.6959459459459459,0.08595451795078655,1.8507874723287363,55
11,H Dollander,Great Falls Voyagers,9.18,0,0,13,12,0,67.66666666666667,107,73,69,25,57,7.58,NA,1.95,NA,NA,NA,2021,pitcher,67.2,3.325123152709359,NA,14.23152709359606,2.28,NA,NA,NA,0.9230769230769231,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.22388059701492538,0.5,0.3283582089552239,0.5,0.9253731343283582,0.5052238805970148,0.6928327645051194,0.0036192756354744456,-0.15760754268705066,40
12,N Floyd,Idaho Falls Chukars,4.41,0,0,15,11,0,67.33333333333333,71,39,33,26,52,6.95,NA,1.44,NA,NA,NA,2021,pitcher,67.1,3.4752475247524757,NA,9.490099009900993,2,NA,NA,NA,0.7333333333333333,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.8283582089552238,0.5,0.8208955223880597,0.5,0.9104477611940298,0.642910447761194,0.6917808219178082,0.09886270701288077,2.1656555875631534,55
