player_name,suggested_full_name,team,season,scout_grade,pa,ops,iso,master_team,position,bats_throws,height,weight,match_status
D Tatum,NA,Oakland Ballers,2025,80,275,1.139,0.346,NA,NA,NA,NA,NA,manual_needed
C Estrada,NA,Idaho Falls Chukars,2022,79.6288806113154,249,1.236,0.298,NA,NA,NA,NA,NA,manual_needed
M Handron,NA,Modesto Roadsters,2026,79.5929536830265,155,1.145,0.302,NA,NA,NA,NA,NA,manual_needed
X Casserilla,Xavier Casserilla,Missoula PaddleHeads,2026,79.5859294518009,224,1.129,0.337,Missoula PaddleHeads,3B,R/R,5-11,225,already_in_lookup
G Ferraro-Nahr,Giuseppe Ferraro-Nahr,Ogden Raptors,2026,79.5380823505717,190,1.215,0.32,Ogden Raptors,INF,R/R,6'3,215,already_in_lookup
M Jung-Goldberg,NA,Boise Hawks,2025,79.5365211670106,447,1.154,0.317,NA,NA,NA,NA,NA,manual_needed
R Alexiades,NA,Ogden Raptors,2023,79.098894920705,443,1.104,0.345,NA,NA,NA,NA,NA,manual_needed
C Muniz,Charlie Muniz,Billings Mustangs,2026,78.4976859778164,239,1.173,0.296,Billings Mustangs,C,R/R,6'2,220,already_in_lookup
K Figueiredo,NA,Grand Junction Jackalopes,2023,78.3116796054286,200,1.134,0.291,NA,NA,NA,NA,NA,manual_needed
T Rogers,NA,Idaho Falls Chukars,2025,78.0083742645276,460,1.183,0.326,NA,NA,NA,NA,NA,manual_needed
C Bagnieski,NA,Ogden Raptors,2025,77.9185000142506,424,1.074,0.257,NA,NA,NA,NA,NA,manual_needed
K Dugan,NA,Grand Junction Jackalopes,2024,77.7184189042323,277,1.18,0.342,NA,NA,NA,NA,NA,manual_needed
B Bishop,NA,RedPocket Mobiles,2026,77.2363744675764,109,1.233,0.379,NA,NA,NA,NA,NA,manual_needed
A Fogel,NA,Missoula PaddleHeads,2024,77.0659624140131,428,1.268,0.385,NA,NA,NA,NA,NA,manual_needed
W Bermudez,William Bermudez,Missoula PaddleHeads,2026,76.885653376304,226,1.092,0.293,Missoula PaddleHeads,IF,S/R,5-8,185,already_in_lookup
R Pena,NA,Missoula PaddleHeads,2025,76.5025919186964,460,1.241,0.431,NA,NA,NA,NA,NA,manual_needed
D Perez,NA,Colorado Springs Sky Sox,2023,76.4375082999459,245,1.013,0.234,NA,NA,NA,NA,NA,manual_needed
J Trimble,NA,Idaho Falls Chukars,2026,75.9087334571746,179,1.277,0.389,NA,NA,NA,NA,NA,manual_needed
J Ybarra,Jeter Ybarra,Oakland Ballers,2026,75.7948677787369,227,1.173,0.399,Oakland Ballers,INF,L/R,"6'3""",205,already_in_lookup
J O'Dowd,NA,Billings Mustangs,2025,75.5363922726596,395,1.091,0.309,NA,NA,NA,NA,NA,manual_needed
J Newman,NA,Missoula PaddleHeads,2022,75.4657645911088,410,1.145,0.335,NA,NA,NA,NA,NA,manual_needed
J Allgeyer,Jake Allgeyer,Oakland Ballers,2026,75.4173087815627,192,1.046,0.249,Oakland Ballers,INF,S/R,"5'11""",200,already_in_lookup
S Canton,NA,Idaho Falls Chukars,2026,75.3033204856222,236,1.201,0.327,NA,NA,NA,NA,NA,manual_needed
V Temesvary,Vincent Temesvary,Great Falls Voyagers,2026,75.2059227757158,219,1.176,0.308,Great Falls Voyagers,UTL,R/R,NA,NA,already_in_lookup
C Sargent Jr.,NA,Ogden Raptors,2025,74.9370839010627,398,1.184,0.357,NA,NA,NA,NA,NA,manual_needed
Z Almond,NA,Missoula PaddleHeads,2021,74.839760637497207,355,1.036,0.243,NA,NA,NA,NA,NA,manual_needed
C Almanza,NA,Oakland Ballers,2025,74.4816189977136,406,1.047,0.338,NA,NA,NA,NA,NA,manual_needed
B Nigh,NA,Boise Hawks,2026,74.2512097621633,110,1.115,0.278,NA,NA,NA,NA,NA,manual_needed
M Minzey,NA,Grand Junction Jackalopes,2025,74.208878258957,396,1.075,0.309,NA,NA,NA,NA,NA,manual_needed
C Lawrence,Colson Lawrence,Ogden Raptors,2026,74.0252125671116,227,1.273,0.367,Ogden Raptors,OF,R/R,6'5,220,already_in_lookup
C Hall,NA,Ogden Raptors,2025,73.8769088872035,268,1.042,0.284,NA,NA,NA,NA,NA,manual_needed
E Berkey,NA,Yuba-Sutter Freebirds,2025,73.7496888489636,354,1.136,0.301,NA,NA,NA,NA,NA,manual_needed
J Barfield,NA,Rocky Mountain Vibes,2023,73.6120550813879,349,1.131,0.325,NA,NA,NA,NA,NA,manual_needed
J Harrison-Dudley,NA,RedPocket Mobiles,2026,73.486904213506,180,1.22,0.433,NA,NA,NA,NA,NA,manual_needed
B Barrera,NA,Oakland Ballers,2024,73.3236849902346,407,1.058,0.262,NA,NA,NA,NA,NA,manual_needed
R Washington Jr.,NA,Grand Junction Jackalopes,2023,73.1120187158101,420,1.056,0.266,NA,NA,NA,NA,NA,manual_needed
S Baumgardt,NA,Idaho Falls Chukars,2025,72.9166145876802,341,1.097,0.292,NA,NA,NA,NA,NA,manual_needed
T Darden,NA,Boise Hawks,2025,72.8203401416823,452,1.209,0.256,NA,NA,NA,NA,NA,manual_needed
J Jablonski,NA,Idaho Falls Chukars,2025,72.7471725261472,299,1.039,0.289,NA,NA,NA,NA,NA,manual_needed
B Roberts,NA,Colorado Springs Sky Sox,2025,72.4166789436225,317,1.108,0.299,NA,NA,NA,NA,NA,manual_needed
K Micklus,Kyle Micklus,Billings Mustangs,2026,72.2033201097412,158,1.048,0.274,Billings Mustangs,C,L/R,5'9,195,already_in_lookup
D Gomez,NA,Colorado Springs Sky Sox,2024,72.0166240139007,381,1.142,0.348,NA,NA,NA,NA,NA,manual_needed
E Santos,Esai Santos,Oakland Ballers,2026,72.0148876624787,206,1.044,0.287,Oakland Ballers,UTIL,L/R,"5'11""",170,already_in_lookup
B Wright,Bodee Wright,Billings Mustangs,2026,71.8853247540981,155,1.119,0.366,Billings Mustangs,UTL,R/R,5'9,175,already_in_lookup
D Stroup,NA,Rocky Mountain Vibes,2023,71.7432877044168,450,1.064,0.266,NA,NA,NA,NA,NA,manual_needed
O Johnson,NA,Modesto Roadsters,2026,71.6904833527216,212,1.114,0.262,NA,NA,NA,NA,NA,manual_needed
S Kuchinski,NA,Grand Junction Jackalopes,2024,71.6831350609531,224,1.011,0.289,NA,NA,NA,NA,NA,manual_needed
C Kirtley,NA,Glacier Range Riders,2023,71.6523931013495,267,1.017,0.285,NA,NA,NA,NA,NA,manual_needed
R McCarthy,NA,Glacier Range Riders,2024,71.3805676146666,144,1.16,0.288,NA,NA,NA,NA,NA,manual_needed
B Rosengard,NA,Idaho Falls Chukars,2025,71.2656115162942,284,1.274,0.253,NA,NA,NA,NA,NA,manual_needed
H George,NA,Colorado Springs Sky Sox,2023,71.2381758500668,410,1.048,0.25,NA,NA,NA,NA,NA,manual_needed
G Brusa,NA,Yuba-Sutter Freebirds,2025,71.2293714754539,407,1.044,0.309,NA,NA,NA,NA,NA,manual_needed
D Matthews,NA,Colorado Springs Sky Sox,2024,71.2261899891786,406,1.089,0.247,NA,NA,NA,NA,NA,manual_needed
J Gonzalez,NA,Yuba-Sutter Freebirds,2024,71.1906856533544,392,1.113,0.27,NA,NA,NA,NA,NA,manual_needed
A Pimentel,NA,Grand Junction Jackalopes,2025,71.0960030452933,394,1.04,0.262,NA,NA,NA,NA,NA,manual_needed
N Martinez,NA,Oakland Ballers,2024,70.8518015302883,400,1.017,0.255,NA,NA,NA,NA,NA,manual_needed
K Liniak,NA,Glacier Range Riders,2024,70.7634074484367,115,1.15,0.377,NA,NA,NA,NA,NA,manual_needed
J Johnson,Josh Johnson,Grand Junction Jackalopes,2023,70.3933259293285,490,1.091,0.265,Missoula PaddleHeads,P,R/R,6-2,190,already_in_lookup
J Pappas,NA,Idaho Falls Chukars,2025,70.1783993430913,283,1.064,0.209,NA,NA,NA,NA,NA,manual_needed
A Cootway,Adam Cootway,Billings Mustangs,2026,70.0772508513614,200,1.112,0.26,Billings Mustangs,OF,R/R,6’0,205,already_in_lookup
L Sparks,NA,Missoula PaddleHeads,2022,69.9186188364497,406,1.126,0.266,NA,NA,NA,NA,NA,manual_needed
M Feinstein,NA,Idaho Falls Chukars,2021,69.7671862206246,348,1.034,0.211,NA,NA,NA,NA,NA,manual_needed
C Denning,NA,Billings Mustangs,2023,69.7668446432957,353,1.008,0.232,NA,NA,NA,NA,NA,manual_needed
C Bess,NA,Long Beach Coast,2026,69.3385548439807,214,1.025,0.266,NA,NA,NA,NA,NA,manual_needed
D Brutcher,NA,Ogden Raptors,2024,69.2591884757648,152,1.085,0.242,NA,NA,NA,NA,NA,manual_needed
M Hogan,NA,Rocky Mountain Vibes,2023,69.2462348124447,187,0.975,0.277,NA,NA,NA,NA,NA,manual_needed
Z Chamizo,Zach Chamizo,Yuba-Sutter Freebirds,2026,69.2021691474146,215,1.029,0.255,Yuba-Sutter Freebirds,Utility,R/R,NA,NA,already_in_lookup
K Schmack,Kyle Schmack,Great Falls Voyagers,2026,69.1188615023264,217,1.068,0.279,Great Falls Voyagers,OF,R/R,NA,NA,already_in_lookup
B Fitzgerald,NA,Glacier Range Riders,2024,69.1073354570733,315,1.014,0.299,NA,NA,NA,NA,NA,manual_needed
A Baeza,NA,Boise Hawks,2023,69.0472287951732,319,1.012,0.229,NA,NA,NA,NA,NA,manual_needed
D Leach,NA,Billings Mustangs,2024,68.8933766732682,163,1.006,0.256,NA,NA,NA,NA,NA,manual_needed
B Norman,NA,Great Falls Voyagers,2021,68.7991648288335,175,1.006,0.247,NA,NA,NA,NA,NA,manual_needed
A Redahan,NA,Great Falls Voyagers,2026,68.7828939241458,124,1.234,0.271,NA,NA,NA,NA,NA,manual_needed
K Greenwalt,NA,Missoula PaddleHeads,2023,68.6693413582596,420,1.017,0.258,NA,NA,NA,NA,NA,manual_needed
E Scavotto,NA,Grand Junction Jackalopes,2025,68.5758411332602,465,1.084,0.246,NA,NA,NA,NA,NA,manual_needed
A Sanchez,NA,Missoula PaddleHeads,2024,68.3378931108925,353,1.023,0.281,NA,NA,NA,NA,NA,manual_needed
C Vest,NA,Long Beach Coast,2026,67.9548513596694,237,1.048,0.243,NA,NA,NA,NA,NA,manual_needed
J Hubbard,NA,Grand Junction Jackalopes,2023,67.9403803047534,460,1.006,0.283,NA,NA,NA,NA,NA,manual_needed
J Faile,NA,Billings Mustangs,2023,67.8685023625948,227,1.175,0.408,NA,NA,NA,NA,NA,manual_needed
S Greico,Sebastian Greico,Ogden Raptors,2026,67.6859862098372,155,1.095,0.323,Ogden Raptors,1B,L/R,6'3,220,already_in_lookup
T Cobb,Tremayne Cobb,Oakland Ballers,2026,67.630519306655,232,0.989,0.229,Oakland Ballers,INF,R/R,"6'1""",195,already_in_lookup
T Viola,NA,Boise Hawks,2024,67.6109136438137,445,1.066,0.296,NA,NA,NA,NA,NA,manual_needed
B Cannon,NA,Modesto Roadsters,2026,67.4634595280314,221,1.01,0.204,NA,NA,NA,NA,NA,manual_needed
C Valentine,Chase Valentine,Ogden Raptors,2026,67.3285649478819,266,1.073,0.279,Ogden Raptors,INF,R/R,5'11,185,already_in_lookup
J Kirby,NA,Yuba-Sutter Freebirds,2024,67.2638732672204,117,0.958,0.271,NA,NA,NA,NA,NA,manual_needed
D Jimerson,Demias Jimerson,Billings Mustangs,2026,67.1059419237526,100,1.17,0.278,Oakland Ballers,OF,R/R,6'0,220,already_in_lookup
J Chavez,NA,RedPocket Mobiles,2026,66.9874496241865,175,1.06,0.25,NA,NA,NA,NA,NA,manual_needed
C Halvorson,NA,Grand Junction Jackalopes,2024,66.8700543133498,274,0.948,0.245,NA,NA,NA,NA,NA,manual_needed
K Clark,NA,Rocky Mountain Vibes,2025,66.7751768310434,289,1.099,0.251,NA,NA,NA,NA,NA,manual_needed
H Nieves,NA,RedPocket Mobiles,2026,66.4798284902278,115,0.96,0.283,NA,NA,NA,NA,NA,manual_needed
E Ott,Ethan Ott,Great Falls Voyagers,2026,66.4094613708703,192,1.011,0.255,Great Falls Voyagers,1B/3B,R/R,NA,NA,already_in_lookup
M Backstrom,NA,Great Falls Voyagers,2024,66.3743533523315,202,1.132,0.356,NA,NA,NA,NA,NA,manual_needed
Z Roos,NA,Grand Junction Jackalopes,2025,66.3574474641478,446,1.038,0.231,NA,NA,NA,NA,NA,manual_needed
S Rivas,NA,Rocky Mountain Vibes,2024,66.0076810377178,443,1.064,0.331,NA,NA,NA,NA,NA,manual_needed
A Fernandes,Alex Fernandes,Glacier Range Riders,2026,65.8309082012023,131,1.115,0.225,Glacier Range Riders,NA,L/R,NA,NA,already_in_lookup
M Bardowell,NA,Long Beach Coast,2026,65.6385563730502,214,1.059,0.27,NA,NA,NA,NA,NA,manual_needed
J Coutts,NA,Colorado Springs Sky Sox,2024,65.5642019952568,412,1.052,0.25,NA,NA,NA,NA,NA,manual_needed
D Henderson,NA,Ogden Raptors,2023,65.4806097023946,113,1.147,0.258,NA,NA,NA,NA,NA,manual_needed
C Petersen,NA,Grand Junction Jackalopes,2022,65.2662020509456,323,1.09,0.261,NA,NA,NA,NA,NA,manual_needed
R Orsak,NA,Yuba-Sutter Freebirds,2025,65.0494340125698,426,0.986,0.213,NA,NA,NA,NA,NA,manual_needed
J Valdez,NA,Ogden Raptors,2022,65.0100234334455,437,1.045,0.243,NA,NA,NA,NA,NA,manual_needed
G Howell,NA,Glacier Range Riders,2023,64.9873326266527,455,0.936,0.219,NA,NA,NA,NA,NA,manual_needed
M O'Connor,NA,Missoula PaddleHeads,2023,64.8096007460983,391,0.959,0.261,NA,NA,NA,NA,NA,manual_needed
A Fritz,NA,Great Falls Voyagers,2025,64.7062298121321,335,0.945,0.213,NA,NA,NA,NA,NA,manual_needed
A Rios,NA,Grand Junction Jackalopes,2024,64.6817041219954,399,1.01,0.22,NA,NA,NA,NA,NA,manual_needed
J Cruce,NA,Grand Junction Jackalopes,2023,64.6320221374223,437,1.064,0.243,NA,NA,NA,NA,NA,manual_needed
M Soper,Michael Soper,Billings Mustangs,2026,64.5401312671457,239,0.97,0.208,Billings Mustangs,INF,L/R,6’0,190,already_in_lookup
J Day,NA,Rocky Mountain Vibes,2024,64.3386728998204,425,1.023,0.237,NA,NA,NA,NA,NA,manual_needed
