"name","organization","team","position","hometown"
"Andy Atwood","Chicago White Sox","Great Falls Voyagers","IF","Everett, Washington"
"Robbie Baker","Milwaukee Brewers","Grand Junction Rockies","Pitcher","Atlanta, Georgia"
"Andrew Bash","Toronto Blue Jays","Missoula Paddleheads","Pitcher","Palm Desert, California"
"Taylor Bloye","Kanas City Royals","Billings Mustangs","Pitcher","Lynchburg, Virginia"
"Robert Brooks","Tampa Bay Rays","Missoula Paddleheads","Catcher","Marietta, Georgia"
"Dylan Burns","Chicago White Sox","Ogden Raptors","Pitcher","Vero Beach, Florida"
"Angel Camacho","Pittsburgh Pirates","Rocky Mountain Vibes","Pitcher","La Paz, Baja California"
"Kyler Castillo","Seattle Mariners","Missoula Paddleheads","IF","Midothian, Texas"
"Jean Correa","Cincinnati Reds","Billings Mustangs","Pitcher","Guayana, Venezuela"
"Wyatt Crenshaw","Arizona Diamondbacks","Billings Mustangs","2B/OF","St. Petersburg, FL"
"Cristopher De Guzman","Chicago White Sox","Great Falls Voyagers","IF","Fajardo, Puerto Rico"
"Juan Diaz","Toronto Blue Jays","Missoula Paddleheads","Pitcher","Santiago, Dominican Republic"
"Hunter Dollander","Chicago White Sox","Great Falls Voyagers","Pitcher","Evans, Georgia"
"Roby Enriquez","Arizona Diamondbacks","Boise Hawks","OF","Carolina, Puerto Rico"
"Haden Erbe","Tampa Bay Rays","Ogden Raptors","Pitcher","Lafayette, Louisiana"
"John Michael Faile","Cincinnati Reds","Billings Mustangs","Catcher","Boiling Springs, SC"
"Matt Gabbert","Minnesota Twins","Boise Hawks","Pitcher","Evanston, Illinois"
"Jakob Goldfarb","Pittsburgh Pirates","Ogden Raptors","OF","Scottsdale, Arizona"
"Mariano Gomez","New York Mets","Rocky Mountain Vibes","Pitcher","Santa Rosalia, Baja California"
"Bradley Gonzalez","Acereros de Monclova","Ogden Raptors","Pitcher","Marana , Arizona"
"Gunnar Groen","Arizona Diamondbacks","Ogden Raptors","Pitcher","London, England"
"Shane Gustafson","Cincinnati Reds","Great Falls Voyagers","Pitcher","Rocklin, California"
"Kyle Hayes","Kanas City Royals","Great Falls Voyagers","Catcher","Vienna , Virginia"
"Jason Hinchman","Colorado Rockies","Glacier Range Riders","1B/OF","Douglasville, Georgia"
"Coleton Horner","Arizona Diamondbacks","Ogden Raptors","Catcher","Turlock, California"
"Jordan Hovey","Kansas City Royals","Billings Mustangs","IF","Omaha, Nevada"
"Chris Jefferson","Seattle Mariners","Billings Mustangs","Pitcher","Pearland, Texas"
"Jackson Lancaster","Tampa Bay Rays","Rocky Mountain Vibes","Pitcher","Memphis, Tennessee"
"Joey Lancellotti","New York Mets","Missoula Paddleheads","Pitcher","Philadelphia, Pennsylvania"
"Logan Lyle","Chicago White Sox","Ogden Raptors","Pitcher","Bartow, Florida"
"Brett Matthews","Colorado Rockies","Grand Junction Rockies","Pitcher","Queen Creek, Arizona"
"Jason Matthews","Chicago White Sox","Great Falls Voyagers","IF","Auckland, New Zealand"
"Ryan McCarthy","Chicago White Sox","Great Falls Voyagers","OF","Conyers, GA"
"Nick Merkel","Milwaukee Brewers","Missoula Paddleheads","Pitcher","Spokane, Washington"
"Mitchel Miller","Pittsburgh Pirates","Ogden Raptors","Pitcher","Weatherford, Texas"
"Dean Nevarez","Chicago Cubs","Missoula Paddleheads","Catcher","Lemon Grove, California"
"Ben Norman","Chicago White Sox","Great Falls Voyagers","OF","Des Moines , Iowa"
"Zach Penrod","Boston Red Sox","Missoula PaddleHeads","Pitcher","Nampa, ID"
"Ruben Ramirez","Kanas City Royals","Billings Mustangs","Pitcher","Juncos, Puerto Rico"
"Joshua Rivera","Kanas City Royals","Boise Hawks","IF","San Juan, Puerto Rico"
"Francisco Romero","Atlanta Braves","Rocky Mountain Vibes","Pitcher","Cananea, Mexico"
"Liam Sabino","Seattle Mariners","Billings Mustangs","IF","East Stroudsburg , Pennsylvania"
"Fox Semones","Arizona Diamondbacks","Ogden Raptors","IF","Virginia Beach, Virginia"
"Christian Sepulveda","Los Angeles Angels","Ogden Raptors","IF","New York, New York"
"Jackson Sigman","Seattle Mariners","Ogden Raptors","Pitcher","Austin, Texas"
"Mark Simon","Toronto Blue Jays","Missoula Paddleheads","Pitcher","Houston, Texas"
"Lamar Sparks","Milwaukee Brewers","Missoula PaddleHeads","OF","Beaumont, Texas"
"Cole Stringer","Colorado Rockies","Ogden Raptors","Pitcher","Portland, Oregon"
"Lucas Summers","Colorado Rockies","Grand Junction Rockies","Pitcher","St. Louis, Missouri"
"Tim Susnara","Chicago Cubs","Ogden Raptors","Catcher","Redwood City , California"
"Nate Sweeney","Colorado Rockies","Grand Junction Rockies","Pitcher","Centennial, Colorado"
"Mark Timmins","Los Angeles Angels","Missoula Paddleheads","Pitcher","Omaha, NE"
"Carlos Tirado","Pittsburgh Pirates","Rocky Mountain Vibes","IF","Mazatlan, Mexico"
"Cam Tullar","Los Angeles Angels","Billings Mustangs","Pitcher","Ann Arbor, MI"
"Logan VanWey","Houston Astros","Glacier Range Riders","Pitcher","Joplin, Missouri"
"Anthony Walters","Colorado Rockies","Boise Hawks","IF","Whittier, California"
"Matt Warkentin","Chicago Cubs","Missoula Paddleheads","IF","Windsor, ON, Canada"
"Palmer Wenzel","Houston Astros","Missoula Paddleheads","Pitcher","San Antonio, Texas"
"Ryley Widell","Colorado Rockies","Boise Hawks","Pitcher","Makawao, Hawaii"
"Kamron Willman","Minnesota Twins","Missoula PaddleHeads","IF","Bakersfield, CA"
