"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"1","J
                                                                        Agnew","Grand Junction Jackalopes","18","1","1","0","0","-","-","0","0","0","1","1","1","-","-","-","-","-","-","-","1",2021,"hitter"
"1","K
                                                                        De La Cruz","Ogden Raptors","9","1","1","0","0","-","-","0","0","0","1","1","1","-","-","-","-","-","-","-","1",2021,"hitter"
"3","C
                                                                        Estrada","Idaho Falls Chukars","25","33","15","12","1","-","-","2","2","9","0.455","0.471","0.636","-","-","-","-","-","-","-","34",2021,"hitter"
"4","S
                                                                        Davis","Rocky Mountain Vibes","18","9","4","3","2","-","-","1","1","2","0.444","0.545","0.778","-","-","-","-","-","-","-","11",2021,"hitter"
"5","F
                                                                        Jezioro","Grand Junction Jackalopes","40","126","51","25","9","-","-","5","5","36","0.405","0.444","0.524","-","-","-","-","-","-","-","135",2021,"hitter"
"6","D
                                                                        Maberry","Ogden Raptors","59","188","76","52","26","-","-","7","7","42","0.404","0.477","0.516","-","-","-","-","-","-","-","214",2021,"hitter"
"7","J
                                                                        Broughton","Ogden Raptors","75","297","118","66","22","-","-","8","8","49","0.397","0.439","0.478","-","-","-","-","-","-","-","319",2021,"hitter"
"8","E
                                                                        Lopez","Rocky Mountain Vibes","21","68","27","14","7","-","-","5","5","7","0.397","0.453","0.618","-","-","-","-","-","-","-","75",2021,"hitter"
"9","A
                                                                        Amicangelo","Billings Mustangs","73","275","105","83","29","-","-","5","5","39","0.382","0.441","0.436","-","-","-","-","-","-","-","304",2021,"hitter"
"10","K
                                                                        Quiggle","Idaho Falls Chukars","58","237","89","73","24","-","-","13","13","54","0.376","0.433","0.54","-","-","-","-","-","-","-","261",2021,"hitter"
"11","D
                                                                        Ellis","Idaho Falls Chukars","16","35","13","8","4","-","-","1","1","8","0.371","0.436","0.457","-","-","-","-","-","-","-","39",2021,"hitter"
"12","K
                                                                        Crowl","Great Falls Voyagers","76","272","101","65","43","-","-","8","8","42","0.371","0.457","0.46","-","-","-","-","-","-","-","315",2021,"hitter"
"13","G
                                                                        Horton","Missoula PaddleHeads","11","38","14","6","2","-","-","2","2","9","0.368","0.4","0.526","-","-","-","-","-","-","-","40",2021,"hitter"
"14","M
                                                                        Schwellenbach","Missoula PaddleHeads","25","11","4","0","2","-","-","0","0","3","0.364","0.462","0.364","-","-","-","-","-","-","-","13",2021,"hitter"
"15","T
                                                                        Kelly","Idaho Falls Chukars","36","122","44","25","14","-","-","5","5","22","0.361","0.426","0.484","-","-","-","-","-","-","-","136",2021,"hitter"
"16","J
                                                                        Elvir","Grand Junction Jackalopes","47","164","59","44","39","-","-","10","10","56","0.36","0.483","0.543","-","-","-","-","-","-","-","203",2021,"hitter"
"17","C
                                                                        Thompson","Missoula PaddleHeads","78","322","115","59","47","-","-","12","12","80","0.357","0.439","0.469","-","-","-","-","-","-","-","369",2021,"hitter"
"18","A
                                                                        Fishberg","Idaho Falls Chukars","33","79","28","21","7","-","-","3","3","11","0.354","0.407","0.468","-","-","-","-","-","-","-","86",2021,"hitter"
"18","N
                                                                        Scantlin","Grand Junction Jackalopes","57","237","84","39","38","-","-","5","5","62","0.354","0.444","0.418","-","-","-","-","-","-","-","275",2021,"hitter"
"20","Z
                                                                        Almond","Missoula PaddleHeads","79","308","109","84","47","-","-","25","25","47","0.354","0.439","0.597","-","-","-","-","-","-","-","355",2021,"hitter"
"21","D
                                                                        Mervis","Billings Mustangs","8","17","6","3","4","-","-","0","0","5","0.353","0.476","0.353","-","-","-","-","-","-","-","21",2021,"hitter"
"22","M
                                                                        Feinstein","Idaho Falls Chukars","73","284","100","100","64","-","-","20","20","66","0.352","0.471","0.563","-","-","-","-","-","-","-","348",2021,"hitter"
"23","R
                                                                        Shah","Ogden Raptors","70","211","74","56","32","-","-","7","7","50","0.351","0.436","0.45","-","-","-","-","-","-","-","243",2021,"hitter"
"24","B
                                                                        Norman","Great Falls Voyagers","53","158","55","57","17","-","-","13","13","28","0.348","0.411","0.595","-","-","-","-","-","-","-","175",2021,"hitter"
"25","N
                                                                        Michaels","Ogden Raptors","75","259","90","51","25","-","-","5","5","64","0.347","0.405","0.405","-","-","-","-","-","-","-","284",2021,"hitter"
"26","N
                                                                        Gatewood","Missoula PaddleHeads","83","320","111","85","29","-","-","18","18","66","0.347","0.401","0.516","-","-","-","-","-","-","-","349",2021,"hitter"
"27","C
                                                                        Sepulveda","Billings Mustangs","60","185","64","49","25","-","-","10","10","31","0.346","0.424","0.508","-","-","-","-","-","-","-","210",2021,"hitter"
"28","J
                                                                        Garcia","Billings Mustangs","84","349","120","70","32","-","-","13","13","82","0.344","0.399","0.456","-","-","-","-","-","-","-","381",2021,"hitter"
"29","H
                                                                        Hisky","Idaho Falls Chukars","52","195","67","48","31","-","-","4","4","35","0.344","0.434","0.405","-","-","-","-","-","-","-","226",2021,"hitter"
"30","J
                                                                        Matthews","Great Falls Voyagers","68","233","80","55","35","-","-","7","7","44","0.343","0.429","0.433","-","-","-","-","-","-","-","268",2021,"hitter"
"31","W
                                                                        Little","Idaho Falls Chukars","67","287","98","77","41","-","-","11","11","49","0.341","0.424","0.456","-","-","-","-","-","-","-","328",2021,"hitter"
"31","J
                                                                        Newman","Missoula PaddleHeads","21","82","28","25","9","-","-","8","8","12","0.341","0.407","0.634","-","-","-","-","-","-","-","91",2021,"hitter"
"33","J
                                                                        Olson","Great Falls Voyagers","68","277","94","56","22","-","-","9","9","55","0.339","0.388","0.437","-","-","-","-","-","-","-","299",2021,"hitter"
"34","J
                                                                        Barfield","Rocky Mountain Vibes","74","260","88","63","31","-","-","18","18","64","0.338","0.409","0.546","-","-","-","-","-","-","-","291",2021,"hitter"
"35","S
                                                                        Macias","Rocky Mountain Vibes","36","113","38","27","12","-","-","8","8","26","0.336","0.4","0.549","-","-","-","-","-","-","-","125",2021,"hitter"
"36","J
                                                                        Cunningham","Ogden Raptors","22","3","1","2","1","-","-","1","1","2","0.333","0.5","1.333","-","-","-","-","-","-","-","4",2021,"hitter"
"36","G
                                                                        Lyttle","Great Falls Voyagers","41","99","33","17","23","-","-","2","2","22","0.333","0.459","0.394","-","-","-","-","-","-","-","122",2021,"hitter"
"36","L
                                                                        Navigato","Missoula PaddleHeads","38","135","45","37","24","-","-","6","6","19","0.333","0.434","0.467","-","-","-","-","-","-","-","159",2021,"hitter"
"36","P
                                                                        Parks","Ogden Raptors","76","294","98","79","54","-","-","12","12","78","0.333","0.437","0.456","-","-","-","-","-","-","-","348",2021,"hitter"
"40","J
                                                                        Goldfarb","Ogden Raptors","70","275","91","68","45","-","-","16","16","68","0.331","0.425","0.505","-","-","-","-","-","-","-","320",2021,"hitter"
"41","R
                                                                        Jepson","Great Falls Voyagers","73","254","84","52","33","-","-","4","4","50","0.331","0.408","0.378","-","-","-","-","-","-","-","287",2021,"hitter"
"42","B
                                                                        West","Idaho Falls Chukars","36","112","37","34","11","-","-","6","6","36","0.33","0.39","0.491","-","-","-","-","-","-","-","123",2021,"hitter"
"43","L
                                                                        Roskam","Grand Junction Jackalopes","57","222","73","50","30","-","-","8","8","41","0.329","0.409","0.437","-","-","-","-","-","-","-","252",2021,"hitter"
