"rk","name","team","era","w","l","app","gs","sv","ip","h","r","er","bb","k","k_9","hr","whip","bf","wp","hbp","season","player_type"
"1","N
                                                                        Saltaformaggio","Ogden Raptors","5.83","9","1","12","12","0","78.2","106","56","51","15","63","7.21","9","1.54","348","8","5",2026,"pitcher"
"2","J
                                                                        Jenkins","Modesto Roadsters","4.83","6","1","13","13","0","78.1","69","44","42","23","79","9.08","9","1.17","329","5","9",2026,"pitcher"
"3","Z
                                                                        Longshore","Glacier Range Riders","5.24","6","3","14","13","0","77.1","84","48","45","28","74","8.61","16","1.45","340","-","5",2026,"pitcher"
"4","R
                                                                        Abe-Arias","RedPocket Mobiles","7.36","1","3","13","13","0","77","112","71","63","27","49","5.73","19","1.81","369","2","1",2026,"pitcher"
"4","O
                                                                        Serrano","Modesto Roadsters","4.09","5","2","13","13","0","77","77","36","35","31","82","9.58","5","1.4","328","2","1",2026,"pitcher"
"6","A
                                                                        Elfering","Glacier Range Riders","5.78","4","4","13","12","0","71.2","93","49","46","19","57","7.16","13","1.56","319","2","3",2026,"pitcher"
"7","J
                                                                        Garcia","Billings Mustangs","4.99","7","1","11","11","0","70.1","80","46","39","26","76","9.73","9","1.51","319","7","3",2026,"pitcher"
"8","J
                                                                        Jackson","Missoula PaddleHeads","7.34","6","3","13","13","0","68.2","94","63","56","29","67","8.78","10","1.79","328","5","4",2026,"pitcher"
"9","J
                                                                        Leerssen","Idaho Falls Chukars","9.9","5","6","13","12","0","66.1","90","77","73","38","61","8.28","13","1.93","329","4","8",2026,"pitcher"
"10","N
                                                                        Hemmerling","Long Beach Coast","5.21","5","0","13","11","0","65.2","70","46","38","29","68","9.32","5","1.51","292","5","4",2026,"pitcher"
"10","S
                                                                        Lavin","Great Falls Voyagers","7.26","3","5","11","11","0","65.2","85","59","53","35","70","9.59","7","1.83","317","12","5",2026,"pitcher"
"12","R
                                                                        Egloff","Yuba-Sutter Freebirds","6.57","2","5","13","13","0","63","78","51","46","36","56","8","10","1.81","302","6","5",2026,"pitcher"
"13","B
                                                                        Huter","RedPocket Mobiles","4.5","3","2","11","10","0","62","71","35","31","22","36","5.23","5","1.5","276","3","2",2026,"pitcher"
"14","Z
                                                                        Rose","Boise Hawks","6.02","3","4","32","2","10","61.1","75","46","41","21","54","7.92","6","1.57","281","2","6",2026,"pitcher"
"15","S
                                                                        Spencer","Idaho Falls Chukars","8.9","3","4","13","12","0","60.2","94","71","60","49","39","5.79","7","2.36","322","11","5",2026,"pitcher"
"16","T
                                                                        Reisinger","Missoula PaddleHeads","8.15","3","4","12","12","0","59.2","81","62","54","24","53","7.99","13","1.76","280","7","4",2026,"pitcher"
"17","R
                                                                        Velazquez","Yuba-Sutter Freebirds","8.84","3","5","16","11","0","58","73","69","57","40","51","7.91","13","1.95","296","7","5",2026,"pitcher"
"18","D
                                                                        Hernandez","Modesto Roadsters","3.77","6","1","9","8","0","57.1","53","24","24","15","58","9.1","7","1.19","241","3","1",2026,"pitcher"
"19","C
                                                                        Calnon","Billings Mustangs","5.21","7","2","10","8","0","57","84","45","33","8","25","3.95","16","1.61","264","-","4",2026,"pitcher"
"20","I
                                                                        Lanik","Idaho Falls Chukars","10.48","1","8","12","11","0","56.2","94","70","66","31","38","6.04","15","2.21","296","3","6",2026,"pitcher"
"20","C
                                                                        Talley","Modesto Roadsters","4.92","6","1","12","11","0","56.2","69","36","31","24","49","7.78","6","1.64","260","-","1",2026,"pitcher"
"22","J
                                                                        Martin","Long Beach Coast","5.75","6","1","11","11","0","56.1","61","40","36","20","42","6.71","12","1.44","256","-","6",2026,"pitcher"
"22","A
                                                                        Risse","Oakland Ballers","9.27","2","6","12","12","0","56.1","86","62","58","32","36","5.75","10","2.09","281","6","4",2026,"pitcher"
"24","J
                                                                        Cone","Boise Hawks","8.12","3","5","11","11","0","54.1","78","58","49","33","30","4.97","9","2.04","278","5","3",2026,"pitcher"
"25","A
                                                                        Silvas","Yuba-Sutter Freebirds","9.67","0","4","15","10","0","54","77","63","58","40","42","7","17","2.17","274","-","2",2026,"pitcher"
"26","C
                                                                        Hurley","Oakland Ballers","7.98","2","5","11","11","0","53","52","50","47","32","42","7.13","13","1.58","250","6","10",2026,"pitcher"
"27","N
                                                                        Bautista","Long Beach Coast","4.15","5","2","13","9","0","52","55","28","24","26","54","9.35","6","1.56","231","4","3",2026,"pitcher"
