player_name,full_name,team,position,bats_throws,height,weight,source_url
A Shaver,A.J. Shaver,Billings Mustangs,OF,R/R,6'1,215,https://www.billingsmustangs.com/sports/bsb/2026/roster
A Calhoun,Aaron Calhoun,Billings Mustangs,RHP,R/R,5’10,180,https://www.billingsmustangs.com/sports/bsb/2026/roster
A Cootway,Adam Cootway,Billings Mustangs,OF,R/R,6’0,205,https://www.billingsmustangs.com/sports/bsb/2026/roster
A Gutierrez,Alizaeh Gutierrez,Billings Mustangs,LHP,L/L,5’10,200,https://www.billingsmustangs.com/sports/bsb/2026/roster
B Wright,Bodee Wright,Billings Mustangs,UTL,R/R,5'9,175,https://www.billingsmustangs.com/sports/bsb/2026/roster
C Bowen,Cameron Bowen,Billings Mustangs,SS,R/R,5'9,200,https://www.billingsmustangs.com/sports/bsb/2026/roster
C Anziani,Carlos Anziani,Billings Mustangs,RHP,R/R,6'4,240,https://www.billingsmustangs.com/sports/bsb/2026/roster
C Muniz,Charlie Muniz,Billings Mustangs,C,R/R,6'2,220,https://www.billingsmustangs.com/sports/bsb/2026/roster
C Calnon,Cole Calnon,Billings Mustangs,RHP,R/R,5’10,175,https://www.billingsmustangs.com/sports/bsb/2026/roster
D Hankins,David Hankins,Billings Mustangs,RHP,R/R,6’4,185,https://www.billingsmustangs.com/sports/bsb/2026/roster
H Mullins,Hayden Mullins,Billings Mustangs,RHP,R/R,6’0,170,https://www.billingsmustangs.com/sports/bsb/2026/roster
H Boncal,Hudson Boncal,Billings Mustangs,RHP,R/R,6'3,210,https://www.billingsmustangs.com/sports/bsb/2026/roster
J Almeda,J.J. Almeda,Billings Mustangs,RHP,R/R,5'11,180,https://www.billingsmustangs.com/sports/bsb/2026/roster
J Gutierrez,Jacob Gutierrez,Billings Mustangs,OF,R/R,6’0,210,https://www.billingsmustangs.com/sports/bsb/2026/roster
J Harris,Jaden Harris,Billings Mustangs,RHP,R/R,6'2,215,https://www.billingsmustangs.com/sports/bsb/2026/roster
J McHenry,John McHenry,Billings Mustangs,INF,S/R,5’9,200,https://www.billingsmustangs.com/sports/bsb/2026/roster
J Garcia,Julian Garcia,Billings Mustangs,RHP,R/R,6'4,205,https://www.billingsmustangs.com/sports/bsb/2026/roster
J Johnson,Justin Johnson,Billings Mustangs,INF,R/R,6'4,215,https://www.billingsmustangs.com/sports/bsb/2026/roster
K Micklus,Kyle Micklus,Billings Mustangs,C,L/R,5'9,195,https://www.billingsmustangs.com/sports/bsb/2026/roster
L Hartman,Lucas Hartman,Billings Mustangs,RHP,R/R,5’10,205,https://www.billingsmustangs.com/sports/bsb/2026/roster
M Soper,Michael Soper,Billings Mustangs,INF,L/R,6’0,190,https://www.billingsmustangs.com/sports/bsb/2026/roster
M Dye,Mitch Dye,Billings Mustangs,RHP,L/R,6'3,208,https://www.billingsmustangs.com/sports/bsb/2026/roster
N Naccarato,Nate Naccarato,Billings Mustangs,RHP,R/R,5’10,165,https://www.billingsmustangs.com/sports/bsb/2026/roster
N Burns,Nin Burns,Billings Mustangs,OF,R/R,5'11,190,https://www.billingsmustangs.com/sports/bsb/2026/roster
P Mills,Pat Mills,Billings Mustangs,1B/OF,L/L,6’4,205,https://www.billingsmustangs.com/sports/bsb/2026/roster
S Lynch,Sean Lynch,Billings Mustangs,C,R/R,6’0,190,https://www.billingsmustangs.com/sports/bsb/2026/roster
T Perry,Tristan Perry,Billings Mustangs,RHP,R/R,6’3,195,https://www.billingsmustangs.com/sports/bsb/2026/roster
T McEvoy,True McEvoy,Billings Mustangs,RHP,R/R,6’1,205,https://www.billingsmustangs.com/sports/bsb/2026/roster
A Hernandez,Alex Hernandez,Boise Hawks,RHP,R/R,,,https://www.boisehawks.com/sports/bsb/2026/roster
A Baker,Andrew Baker,Boise Hawks,LHP,L/L,5'11,205,https://www.boisehawks.com/sports/bsb/2026/roster
A Folds,Austin Folds,Boise Hawks,OF,L/L,5&amp;rsquo;10,180,https://www.boisehawks.com/sports/bsb/2026/roster
B McFadden,Blake McFadden,Boise Hawks,Pitcher,L/L,6'3,225,https://www.boisehawks.com/sports/bsb/2026/roster
C Matlon,Caden Matlon,Boise Hawks,C,R/R,6'2,205,https://www.boisehawks.com/sports/bsb/2026/roster
C Witte,Cameron Witte,Boise Hawks,RHP,R/R,,,https://www.boisehawks.com/sports/bsb/2026/roster
C Trout,Chaney Trout,Boise Hawks,Pitcher,R/R,5'11,195,https://www.boisehawks.com/sports/bsb/2026/roster
