source_team,source_url,scrape_error
Oakland Ballers,https://www.oaklandballers.com/sports/bsb/2026/roster?view=headshot,No tables found
Billings Mustangs,https://www.billingsmustangs.com/sports/bsb/2026/roster?view=headshot,No tables found
Boise Hawks,https://www.boisehawks.com/sports/bsb/2026/roster?view=headshot,No tables found
Glacier Range Riders,https://www.gorangeriders.com/sports/bsb/2026/roster?view=headshot,No tables found
Great Falls Voyagers,https://www.gfvoyagers.com/sports/bsb/2026/roster?view=headshot,No tables found
Idaho Falls Chukars,https://www.ifchukars.com/sports/bsb/2026/roster?view=headshot,No tables found
Long Beach Coast,https://longbeachcoast.com/sports/bsb/2026/roster?view=headshot,No tables found
Missoula PaddleHeads,https://gopaddleheads.com/sports/bsb/2026/roster?view=headshot,No tables found
Modesto Roadsters,https://modestoroadsters.com/sports/bsb/2026/roster?view=headshot,No tables found
Ogden Raptors,https://ogden-raptors.com/sports/bsb/2026/roster?view=headshot,No tables found
Yuba-Sutter Freebirds,https://freebirdsbaseball.com/sports/bsb/2026/roster?view=headshot,No tables found
