player_name,season,player_type,full_name,source
A Barranca,2026,hitter,Antonio Barranca,Baseball-Reference register + current roster
A Collins,2026,hitter,Andrew Collins,Baseball-Reference register
A Cootway,2026,hitter,Adam Cootway,Baseball-Reference register + current roster
A Fernandes,2026,hitter,Alex Fernandes,Baseball-Reference register + current roster
A Folds,2026,hitter,Austin Folds,Baseball-Reference register + current roster
A Gauna,2026,hitter,Andrew Gauna,Baseball-Reference register + current roster
A Kirchner,2026,hitter,Andrew Kirchner,Baseball-Reference register + current roster
A Manisero,2026,hitter,Anthony Manisero,Baseball-Reference register + current roster
A Mata,2026,hitter,Anthony Mata,Baseball-Reference register + current roster
A Redahan,2026,hitter,Aidan Redahan,Baseball-Reference register
A Shaver,2026,hitter,A.J. Shaver,Baseball-Reference register + current roster
A Swenda,2026,hitter,Anthony Swenda,Baseball-Reference register + current roster
B Bishop,2026,hitter,Braylon Bishop,Baseball-Reference register
B Cannon,2026,hitter,Bryce Cannon,Baseball-Reference register + current roster
B Capps,2026,hitter,NA,unresolved
B Cermenelli,2026,hitter,Bryce Cermenelli,Baseball-Reference register + current roster
B Choi,2026,hitter,NA,unresolved
B Mayer,2026,hitter,Brock Mayer,Baseball-Reference register + current roster
B Nigh,2026,hitter,NA,unresolved
B O'Sullivan,2026,hitter,Brendan O'Sullivan,Baseball-Reference register + current roster
B Pelle,2026,hitter,Bradley Pelle,Baseball-Reference register + current roster
B Rosengard,2026,hitter,Ben Rosengard,Baseball-Reference register
B Vradenburg,2026,hitter,Brock Vradenburg,Baseball-Reference register
B Wilhoite,2026,hitter,Blake Wilhoite,Baseball-Reference register + current roster
B Wright,2026,hitter,Bodee Wright,Baseball-Reference register + current roster
C Bess,2026,hitter,Cuba Bess,Baseball-Reference register + current roster
C Bowen,2026,hitter,Cameron Bowen,Baseball-Reference register + current roster
C Bufford,2026,hitter,Cam Bufford,Baseball-Reference register + current roster
C Calnon,2026,hitter,Cole Calnon,Baseball-Reference register + current roster
C Campbell,2026,hitter,Chris Campbell,Baseball-Reference register
C Castaneda,2026,hitter,Christian Castaneda,Baseball-Reference register + current roster
C Dayton,2026,hitter,Cameron Dayton,Baseball-Reference register + current roster
C Dean,2026,hitter,Charles (CJ) Dean,Baseball-Reference register + current roster
C Fellows,2026,hitter,Cole Fellows,Baseball-Reference register
C Garner,2026,hitter,Carson Garner,Baseball-Reference register + current roster
C Hext,2026,hitter,Cooper Hext,Baseball-Reference register
C Hornung,2026,hitter,Carson Hornung,Baseball-Reference register
C Jordan,2026,hitter,Cole Jordan,Baseball-Reference register + current roster
C Lane,2026,hitter,Carmine Lane,Baseball-Reference register + current roster
C Lawrence,2026,hitter,Colson Lawrence,Baseball-Reference register + current roster
C Magee,2026,hitter,Cam Magee,Baseball-Reference register
C Matlon,2026,hitter,Caden Matlon,Baseball-Reference register + current roster
C Muniz,2026,hitter,Charlie Muniz,Baseball-Reference register + current roster
C Murray,2026,hitter,NA,unresolved
C Robinson,2026,hitter,Cole Robinson,Baseball-Reference register + current roster
C Royer,2026,hitter,NA,unresolved
C Smith,2026,hitter,Conner Smith,Baseball-Reference register + current roster
C Valentine,2026,hitter,Chase Valentine,Baseball-Reference register + current roster
C Vaughan,2026,hitter,Casey Vaughan,Baseball-Reference register + current roster
C Vest,2026,hitter,Cooper Vest,Baseball-Reference register + current roster
C Yuran,2026,hitter,Cam Yuran,Baseball-Reference register + current roster
D Andiarena,2026,hitter,Derick Andiarena,Baseball-Reference register
D Aragon,2026,hitter,Diego Aragon,Baseball-Reference register + current roster
D Dixon,2026,hitter,Devon Dixon,Baseball-Reference register + current roster
D Jackson,2026,hitter,Darryl Jackson,Baseball-Reference register + current roster
D Jimerson,2026,hitter,Demias Jimerson,Baseball-Reference register + current roster
D Laferriere,2026,hitter,Derek Laferriere,Baseball-Reference register + current roster
D Murillo,2026,hitter,Diego Murillo,Baseball-Reference register
D Ratfield,2026,hitter,Donovan Ratfield,Baseball-Reference register
D Smiley,2026,hitter,DeMarckus Smiley,Baseball-Reference register
