player_name,name_key,player_name_master,full_name,team,position,bats_throws,height,weight,match_status
A Adams,a_adams,NA,NA,NA,NA,NA,NA,NA,needs_review
A Amicangelo,a_amicangelo,NA,NA,NA,NA,NA,NA,NA,needs_review
A Armstrong,a_armstrong,NA,NA,NA,NA,NA,NA,NA,needs_review
A Atwood,a_atwood,NA,NA,NA,NA,NA,NA,NA,needs_review
A Baeza,a_baeza,NA,NA,NA,NA,NA,NA,NA,needs_review
A Bernard,a_bernard,NA,NA,NA,NA,NA,NA,NA,needs_review
A Buendia,a_buendia,NA,NA,NA,NA,NA,NA,NA,needs_review
A Chouinard,a_chouinard,NA,NA,NA,NA,NA,NA,NA,needs_review
A Cootway,a_cootway,A Cootway,Adam Cootway,Billings Mustangs,OF,R/R,6’0,205,matched
A Davis,a_davis,NA,NA,NA,NA,NA,NA,NA,needs_review
A Don,a_don,NA,NA,NA,NA,NA,NA,NA,needs_review
A Elder,a_elder,NA,NA,NA,NA,NA,NA,NA,needs_review
A Fernandes,a_fernandes,A Fernandes,Alex Fernandes,Glacier Range Riders,NA,L/R,NA,NA,matched
A Figueredo,a_figueredo,NA,NA,NA,NA,NA,NA,NA,needs_review
A Fogel,a_fogel,NA,NA,NA,NA,NA,NA,NA,needs_review
A Folds,a_folds,A Folds,Austin Folds,Boise Hawks,OF,L/L,5&amp;rsquo;10,180,matched
A Fritz,a_fritz,NA,NA,NA,NA,NA,NA,NA,needs_review
A Guadalupe,a_guadalupe,NA,NA,NA,NA,NA,NA,NA,needs_review
A Hanson,a_hanson,NA,NA,NA,NA,NA,NA,NA,needs_review
A Herron Jr.,a_jr.,NA,NA,NA,NA,NA,NA,NA,needs_review
A Mata,a_mata,NA,NA,NA,NA,NA,NA,NA,needs_review
A Meggs,a_meggs,NA,NA,NA,NA,NA,NA,NA,needs_review
A Monge,a_monge,NA,NA,NA,NA,NA,NA,NA,needs_review
A Nielsen,a_nielsen,NA,NA,NA,NA,NA,NA,NA,needs_review
A Noviello,a_noviello,NA,NA,NA,NA,NA,NA,NA,needs_review
A Nunez,a_nunez,NA,NA,NA,NA,NA,NA,NA,needs_review
A Pimentel,a_pimentel,NA,NA,NA,NA,NA,NA,NA,needs_review
A Ray,a_ray,NA,NA,NA,NA,NA,NA,NA,needs_review
A Redahan,a_redahan,NA,NA,NA,NA,NA,NA,NA,needs_review
A Rios,a_rios,NA,NA,NA,NA,NA,NA,NA,needs_review
A Sanchez,a_sanchez,NA,NA,NA,NA,NA,NA,NA,needs_review
A Sequera,a_sequera,NA,NA,NA,NA,NA,NA,NA,needs_review
A Shaver,a_shaver,A Shaver,A.J. Shaver,Billings Mustangs,OF,R/R,6'1,215,matched
A Swenda,a_swenda,A Swenda,Anthony Swenda,Great Falls Voyagers,INF,R/R,NA,NA,matched
B Barrera,b_barrera,NA,NA,NA,NA,NA,NA,NA,needs_review
B Bishop,b_bishop,NA,NA,NA,NA,NA,NA,NA,needs_review
B Blackford,b_blackford,NA,NA,NA,NA,NA,NA,NA,needs_review
B Bohning,b_bohning,NA,NA,NA,NA,NA,NA,NA,needs_review
B Broussard,b_broussard,NA,NA,NA,NA,NA,NA,NA,needs_review
B Brown,b_brown,NA,NA,NA,NA,NA,NA,NA,needs_review
B Cannon,b_cannon,NA,NA,NA,NA,NA,NA,NA,needs_review
B Carson,b_carson,NA,NA,NA,NA,NA,NA,NA,needs_review
B Crosby,b_crosby,NA,NA,NA,NA,NA,NA,NA,needs_review
B Daniel,b_daniel,NA,NA,NA,NA,NA,NA,NA,needs_review
B Dansereau,b_dansereau,NA,NA,NA,NA,NA,NA,NA,needs_review
B Donovan,b_donovan,NA,NA,NA,NA,NA,NA,NA,needs_review
