team,logo_url,file
Oakland Ballers,https://cdn.prestosports.com/action/cdn/logos/id/maotayco79j2g2lx.png,NA
Billings Mustangs,https://www.billingsmustangs.com/assets/Primary_Logo_-_.5x.png,NA
Boise Hawks,https://www.boisehawks.com/assets/Primary_Logo_-_.5x.png,NA
Glacier Range Riders,https://www.gorangeriders.com/assets/Primary_Logo_-_.5x.png,NA
Great Falls Voyagers,https://www.gfvoyagers.com/assets/Primary_Logo_-_.5x.png,NA
Idaho Falls Chukars,https://www.ifchukars.com/assets/Primary_Logo_-_.5x.png,NA
Long Beach Coast,https://cdn.prestosports.com/action/cdn/logos/id/maotayco79j2g2lx.png,NA
Missoula PaddleHeads,https://cdn.prestosports.com/action/cdn/logos/id/zgzmksngghvq54yy.png,NA
Modesto Roadsters,https://modestoroadsters.com/images/setup/Primary_Logo_-_.5x.png,NA
Ogden Raptors,https://ogden-raptors.com/assets/Primary_Logo_-_.5x.png,NA
Yuba-Sutter Freebirds,https://freebirdsbaseball.com/assets/Primary_Logo.5x.png,NA
